Favorite Color,Favorite Music Genre,Favorite Beverage,Favorite Soft Drink,Gender
Cool,Pop,Beer,Coca Cola/Pepsi,F
Cool,Pop,Doesn't drink,Coca Cola/Pepsi,F
Cool,Rock,Vodka,Coca Cola/Pepsi,F
Cool,Rock,Doesn't drink,Other,M
Neutral,Rock,Doesn't drink,Coca Cola/Pepsi,M
Cool,Pop,Doesn't drink,7UP/Sprite,F
Warm,Folk/Traditional,Other,Fanta,M
Cool,Pop,Whiskey,Other,M
Warm,Jazz/Blues,Vodka,Coca Cola/Pepsi,M
Cool,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M
Neutral,Rock,Beer,Coca Cola/Pepsi,F
Cool,Folk/Traditional,Beer,Other,M
Cool,Rock,Wine,Coca Cola/Pepsi,M
Warm,Jazz/Blues,Wine,Coca Cola/Pepsi,F
Cool,Pop,Doesn't drink,Other,F
Cool,Pop,Beer,Other,F
Cool,Folk/Traditional,Whiskey,7UP/Sprite,F
Cool,R&B and soul,Whiskey,7UP/Sprite,M
Warm,Pop,Other,7UP/Sprite,F
Cool,R&B and soul,Beer,Coca Cola/Pepsi,F
Cool,Rock,Vodka,Coca Cola/Pepsi,M
Cool,Hip hop,Wine,Coca Cola/Pepsi,M
Cool,Pop,Other,Fanta,M
Cool,Electronic,Doesn't drink,Fanta,F
Cool,Rock,Wine,7UP/Sprite,M
Warm,Hip hop,Beer,Coca Cola/Pepsi,M
Neutral,Hip hop,Vodka,Coca Cola/Pepsi,F
Warm,Jazz/Blues,Whiskey,Fanta,F
Warm,Rock,Wine,Coca Cola/Pepsi,F
Warm,Rock,Beer,Fanta,M
Warm,Rock,Vodka,7UP/Sprite,M
Warm,Electronic,Other,Coca Cola/Pepsi,M
Cool,Hip hop,Doesn't drink,Other,M
Warm,Pop,Other,Coca Cola/Pepsi,F
Cool,Electronic,Other,Fanta,M
Cool,Pop,Other,7UP/Sprite,F
Cool,Rock,Vodka,Coca Cola/Pepsi,F
Cool,Rock,Other,Coca Cola/Pepsi,F
Warm,Electronic,Vodka,Fanta,M
Cool,Pop,Whiskey,Fanta,M
Cool,Pop,Beer,Fanta,F
Cool,Electronic,Whiskey,Coca Cola/Pepsi,M
Warm,Pop,Whiskey,Fanta,F
Warm,R&B and soul,Doesn't drink,Coca Cola/Pepsi,M
Cool,Rock,Beer,Coca Cola/Pepsi,F
Cool,Rock,Doesn't drink,Coca Cola/Pepsi,M
