[2025-04-24 15:38:56,094] 22 root - INFO - Logging setup completed successfully!
[2025-04-24 15:38:58,411] 97 werkzeug - WARNING -  * Debugger is active!
[2025-04-24 15:38:58,417] 97 werkzeug - INFO -  * Debugger PIN: 296-058-325
[2025-04-24 15:39:17,865] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 15:39:17] "GET /predict HTTP/1.1" 200 -
[2025-04-24 15:39:18,041] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 15:39:18] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
[2025-04-24 15:39:20,078] 46 root - INFO - DataFrame created from user input
[2025-04-24 15:39:20,361] 62 root - INFO - Exception occurred in load_object function
[2025-04-24 15:39:20,363] 26 root - INFO - Exception occured in prediction
[2025-04-24 15:39:20,389] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 15:39:20] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[2025-04-24 15:39:20,432] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 15:39:20] "[36mGET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
[2025-04-24 15:39:20,435] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 15:39:20] "[36mGET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
[2025-04-24 15:39:20,498] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 15:39:20] "GET /predict?__debugger__=yes&cmd=resource&f=console.png&s=WiSQdp1ss5fwp1bouodR HTTP/1.1" 200 -
[2025-04-24 15:39:20,529] 97 werkzeug - INFO - 127.0.0.1 - - [24/Apr/2025 15:39:20] "[36mGET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
